Date,Trips over the past 24-hours,Miles traveled today,Miles traveled to date,Total Annual Members (All Time),24-Hour Passes Purchased,7-Day Passes Purchased,3-Day Passes Purchased
4/30/2014,3093,3572,13949016,104840,15,0,0
5/1/2014,29448,51320,14000335,104903,780,94,0
5/2/2014,35590,60514,14060849,105041,1192,144,0
5/3/2014,28254,61950,14122799,105233,2440,150,0
5/4/2014,23450,43926,14166724,105385,1479,77,0
5/5/2014,33706,58904,14225628,105544,842,127,0
5/6/2014,35977,62455,14288083,105763,836,100,0
5/7/2014,36210,58617,14346700,105960,799,91,0
5/8/2014,19518,28900,14375600,106155,303,20,0
5/9/2014,24990,37118,14412718,106260,537,59,0
5/10/2014,24179,44945,14457663,106371,1617,74,0
5/11/2014,31551,71587,14529250,106504,2768,145,0
5/12/2014,35209,61465,14590714,106665,935,124,0
5/13/2014,36281,59204,14649918,106911,737,125,0
5/14/2014,33087,52063,14701982,107115,586,75,0
5/15/2014,28847,45347,14747329,107279,566,76,0
5/16/2014,19561,27664,14774993,107408,218,22,0
5/17/2014,33141,71372,14846365,107522,2968,141,0
5/18/2014,30026,61977,14908341,107652,2476,124,0
5/19/2014,34763,56666,14965008,107806,914,124,0
5/20/2014,38928,66578,15031586,108032,1145,141,0
5/21/2014,37493,61069,15092655,108226,897,115,0
5/22/2014,26753,39650,15132305,108372,470,40,0
5/23/2014,26895,42128,15174433,108493,793,84,0
5/24/2014,18503,35805,15210238,108601,1532,105,0
5/25/2014,28266,68798,15279036,108710,3535,144,0
5/26/2014,29819,70712,15349748,108825,3095,143,0
5/27/2014,36165,63451,15413199,108994,1196,162,0
5/28/2014,32666,49670,15462869,109247,533,79,0
5/29/2014,37184,60222,15523091,109411,930,108,0
5/30/2014,37875,65240,15588331,109555,1191,118,0
5/31/2014,30659,61976,15650307,109722,2305,129,0
6/1/2014,34597,75594,15725901,109861,2912,168,0
6/2/2014,38143,68186,15794087,110073,1099,150,0
6/3/2014,32504,52767,15846854,110350,702,119,0
6/4/2014,39747,66953,15913807,110588,950,135,0
6/5/2014,27165,44714,15958521,110758,692,81,0
6/6/2014,41291,72887,16031408,110904,1668,128,0
6/7/2014,34417,74549,16105957,111068,2888,165,0
6/8/2014,33432,73196,16179153,111184,2704,117,0
6/9/2014,20545,32252,16211405,111346,394,43,0
6/10/2014,36959,59916,16271321,111473,783,117,0
6/11/2014,33809,55193,16326514,111640,691,105,0
6/12/2014,32186,49272,16375786,111761,644,78,0
6/13/2014,20236,31146,16406932,111895,565,40,0
6/14/2014,31432,63830,16470762,112001,2442,129,0
6/15/2014,31029,65140,16535902,112107,2397,136,0
6/16/2014,38568,66964,16602866,112249,1080,153,0
6/17/2014,38963,66789,16669655,112449,978,124,0
6/18/2014,38984,64305,16733960,112622,905,139,0
6/19/2014,35327,58660,16792620,112783,812,92,0
6/20/2014,38827,78661,16871281,112896,1439,117,0
6/21/2014,33325,69714,16940995,113060,2951,149,0
6/22/2014,32300,65036,17006031,113154,2532,107,0
