Date,Trips over the past 24-hours,Miles traveled today,Miles traveled to date,Total Annual Members (All Time),24-Hour Passes Purchased,7-Day Passes Purchased,3-Day Passes Purchased
6/2/2015,12706,15730,30345498,133453,75,35,0
6/3/2015,36345,58749,30404247,133535,1129,143,0
6/4/2015,34390,52792,30457039,133598,806,147,0
6/5/2015,32861,51079,30508118,133641,959,117,0
6/6/2015,27910,55613,30563731,133687,2457,144,0
6/7/2015,32881,71994,30635725,133752,3295,169,0
6/8/2015,35453,58140,30693865,133832,1045,168,0
6/9/2015,37322,59489,30753354,133896,889,140,0
6/10/2015,41386,69035,30822389,133964,1223,140,0
6/11/2015,39083,62993,30885382,134041,1060,137,0
6/12/2015,36801,60933,30946315,134109,1374,131,0
6/13/2015,31772,67103,31013418,134156,3045,168,0
6/14/2015,29829,62977,31076395,134220,2633,192,0
6/15/2015,26533,38705,31115100,134279,575,122,0
6/16/2015,33832,52864,31167964,134345,798,151,0
6/17/2015,40009,65208,31233172,134414,1145,160,0
6/18/2015,37326,56562,31289734,134468,792,144,0
6/19/2015,39350,66914,31356648,134516,1543,143,0
6/20/2015,24937,45872,31402520,134548,1747,125,0
6/21/2015,27486,55513,31458033,134602,2295,140,0
6/22/2015,39758,66659,31524692,134676,1282,202,0
6/23/2015,34182,52805,31577497,134743,824,147,0
6/24/2015,43484,73125,31650622,134818,1270,189,0
6/25/2015,41618,68362,31718984,134859,1166,135,0
6/26/2015,40599,68529,31787513,134908,1579,182,0
6/27/2015,16271,28233,31815746,134935,1143,65,0
6/28/2015,21588,42273,31858019,134975,1610,101,0
6/29/2015,39785,69309,31927328,135065,1452,196,0
6/30/2015,39839,65564,31992892,135136,1220,156,0
10/1/2015,34719,55662,38756427,150933,804,92,0
10/2/2015,9444,12111,38768538,150976,65,4,0
10/3/2015,16564,25241,38793779,151027,489,64,0
10/4/2015,30214,59317,38853096,151167,2005,127,0
10/5/2015,44581,78665,38931761,151361,1193,176,0
10/6/2015,49720,89905,39021666,151461,1328,167,0
10/7/2015,50141,89586,39111252,151579,1211,172,0
10/8/2015,50179,88959,39200211,151968,1436,180,0
10/9/2015,37283,65046,39265257,152132,1302,97,0
10/10/2015,39348,87575,39352832,152260,3864,206,0
10/11/2015,38967,92607,39445439,152421,4004,171,0
10/12/2015,45584,102884,39548323,153049,2452,189,0
10/13/2015,49047,101421,39649744,153382,1235,151,0
10/14/2015,50000,99751,39749495,153619,1069,150,0
10/15/2015,48783,96975,39846470,153784,1318,155,0
10/16/2015,46486,93266,39939736,153866,1522,118,0
10/17/2015,31811,70864,40010600,154026,2239,120,0
10/18/2015,23978,49590,40060190,154092,1141,75,0
10/19/2015,36570,66941,40127131,154422,661,116,0
10/20/2015,45377,89988,40217119,154499,1093,147,0
10/21/2015,49121,100309,40317428,154626,1339,162,0
10/22/2015,49604,100026,40417454,154799,1342,177,0
10/23/2015,44681,90710,40508164,154935,1429,123,0
10/24/2015,31713,71472,40579636,155028,2254,101,0
10/25/2015,29289,62798,40642434,155118,1761,90,0
10/26/2015,42166,81381,40723815,155296,1039,154,0
10/27/2015,44553,83174,40806989,155445,866,86,0
10/28/2015,20736,34040,40841029,155572,128,25,0
10/29/2015,45359,90367,40931396,155697,1179,167,0
10/30/2015,44521,90284,41021680,155873,1558,154,0
10/31/2015,31759,70082,41091762,156005,2206,145,0
11/1/2015,30622,66939,41158701,156096,2090,111,0
11/2/2015,44534,89099,41247800,156208,1316,190,0
11/3/2015,49326,100760,41348560,156301,1567,166,0
11/4/2015,49487,99144,41447704,156400,1217,139,0
11/5/2015,43006,81276,41528980,156499,849,108,0
11/6/2015,47162,95321,41624301,156561,1571,122,0
11/7/2015,35586,79866,41704167,156647,2643,149,0
11/8/2015,32318,73329,41777496,156743,2361,99,0
11/9/2015,42262,78410,41855906,156820,899,102,0
11/10/2015,21585,34847,41890753,156963,120,42,0
11/11/2015,37705,68696,41959449,157038,712,95,0
11/12/2015,37319,64556,42024005,157143,430,61,0
11/13/2015,38970,70190,42094195,157226,892,78,0
11/14/2015,25300,50403,42144598,157296,1349,72,0
11/15/2015,25991,54736,42199334,157392,1497,78,0
11/16/2015,40916,78389,42277723,157491,833,105,0
11/17/2015,38939,68151,42345874,157570,488,66,0
11/18/2015,41486,73030,42418904,157628,498,82,0
11/19/2015,21890,36884,42455788,157666,167,37,0
11/20/2015,38205,71192,42526980,157702,890,73,0
11/21/2015,28038,56288,42583268,157731,1572,65,0
11/22/2015,23344,44743,42628011,157781,905,39,0
11/23/2015,30136,51812,42679823,157830,382,43,0
11/24/2015,32218,53981,42733804,157870,392,43,0
11/25/2015,30295,55504,42789308,157893,636,54,0
11/26/2015,13291,35956,42825264,157907,1436,61,0
11/27/2015,22829,51342,42876606,157929,1859,78,0
11/28/2015,15832,32196,42908802,157952,1061,45,0
11/29/2015,18453,36854,42945656,157997,888,45,0
11/30/2015,30221,52674,42998330,158047,346,62,0
12/1/2015,18399,29273,43027603,158067,61,22,0
12/2/2015,23782,39484,43067087,158096,138,29,0
12/3/2015,33917,59184,43126271,158130,348,42,0
12/4/2015,34737,61717,43187988,158157,549,60,0
12/5/2015,26355,56227,43244215,158183,1638,66,0
12/6/2015,24942,52485,43296700,158214,1321,53,0
12/7/2015,34139,60929,43357629,158251,554,84,0
12/8/2015,35614,59619,43417248,158284,411,69,0
12/9/2015,35305,59954,43477202,158317,355,33,0
12/10/2015,39099,69925,43547127,158357,638,67,0
12/11/2015,39059,72153,43619280,158388,822,63,0
12/12/2015,31956,68858,43688138,158427,2192,51,0
12/13/2015,32001,72863,43761001,158468,2470,68,0
12/14/2015,32518,57195,43818196,158529,606,56,0
12/15/2015,38660,67753,43885949,158572,606,54,0
12/16/2015,35643,61011,43946960,158617,436,50,0
12/17/2015,21960,35033,43981993,158643,120,26,0
12/18/2015,30699,51270,44033263,158671,384,38,0
12/19/2015,17776,30995,44064258,158692,527,31,0
12/20/2015,17029,30624,44094882,158732,604,36,0
12/21/2015,29800,54373,44149255,158772,494,29,0
12/22/2015,22941,39410,44188665,158793,274,26,0
12/23/2015,14817,28228,44216893,158825,172,19,0
12/24/2015,18445,35231,44252124,158844,660,64,0
12/25/2015,12331,37829,44289953,158883,2171,84,0
12/26/2015,13912,30690,44320643,158933,1021,96,0
12/27/2015,13176,30096,44350739,158993,1064,83,0
12/28/2015,18889,39889,44390628,159046,756,69,0
12/29/2015,13347,24451,44415079,159081,211,36,0
12/30/2015,22476,43736,44458815,159148,888,57,0
12/31/2015,20375,40032,44498847,159215,1072,54,0
1/1/2016,11009,24429,44606414,159362,919,51,0
1/2/2016,14587,29093,44635507,159403,877,34,0
1/3/2016,15499,29616,44665123,159459,784,27,0
1/4/2016,19593,36172,44701295,159502,166,33,0
1/5/2016,18053,32049,44733344,159534,121,22,0
1/6/2016,24569,40996,44774340,159564,265,27,0
1/7/2016,27773,45986,44820326,159588,318,24,0
1/8/2016,28709,47061,44867387,159621,364,28,0
1/9/2016,20846,37341,44904728,159654,632,20,0
1/10/2016,14275,25404,44930132,159682,391,18,0
1/11/2016,22937,37393,44967525,159731,155,32,0
1/12/2016,25211,38958,45006483,159761,151,23,0
1/13/2016,21133,31608,45038091,159792,82,15,0
1/14/2016,23780,37295,45075386,159813,123,29,0
1/15/2016,28435,45993,45121379,159841,379,27,0
1/16/2016,19178,35791,45157170,159885,803,37,0
1/17/2016,12024,20487,45177657,159910,387,22,0
1/18/2016,12718,19998,45197655,159931,123,13,0
1/19/2016,17281,26966,45224621,159957,64,12,0
1/20/2016,23419,35477,45260098,159972,126,11,0
1/21/2016,23671,36048,45296146,159991,133,15,0
1/22/2016,20950,31344,45327490,160004,115,6,0
1/23/2016,0,0,45327490,160005,0,0,0
1/24/2016,0,0,45327490,160013,0,0,0
1/25/2016,0,0,45327490,160020,0,0,0
1/26/2016,0,0,45327490,160028,0,0,0
1/27/2016,6760,13698,45341188,160039,54,6,0
1/28/2016,11944,22314,45363502,160053,81,9,0
1/29/2016,16028,26896,45390398,160064,118,27,0
1/30/2016,12964,23350,45413748,160084,328,23,0
1/31/2016,16112,31280,45445028,160118,533,17,0
2/1/2016,24334,42380,45487408,160160,202,31,0
2/2/2016,28527,47742,45535150,160189,280,31,0
2/3/2016,16203,24225,45559375,160216,63,12,0
2/4/2016,27765,47458,45606833,160247,304,24,0
2/5/2016,13669,25538,45632371,160257,102,7,0
2/6/2016,16933,38782,45671153,160280,586,35,0
2/7/2016,17605,31524,45702677,160316,622,30,0
2/8/2016,19026,28648,45731325,160335,80,20,0
2/9/2016,22740,40198,45771523,160364,156,9,0
2/10/2016,22418,38402,45809925,160395,130,17,0
2/11/2016,18747,27783,45837708,160425,87,15,0
2/12/2016,16445,27143,45864851,160450,104,16,0
2/13/2016,6625,11589,45876440,160459,46,4,0
2/14/2016,4652,6934,45883374,160468,78,4,0
2/15/2016,5883,8747,45892121,160480,43,1,0
2/16/2016,14225,27802,45919923,160505,53,19,0
2/17/2016,23572,38304,45958227,160528,182,26,0
2/18/2016,22261,34431,45992658,160550,202,26,0
2/19/2016,21959,35317,46027975,160568,268,17,0
2/20/2016,24484,53540,46081515,160618,1710,50,0
2/21/2016,20052,41645,46123160,160685,1228,29,0
2/22/2016,28233,48237,46171397,160749,455,37,0
2/23/2016,16133,26379,46197776,160784,62,10,0
2/24/2016,9761,14994,46212770,160814,38,3,0
2/25/2016,25102,42707,46255477,160849,237,23,0
2/26/2016,22574,36101,46291578,160887,254,19,0
2/27/2016,17226,37583,46329161,160910,706,18,0
2/28/2016,25440,61595,46390756,160982,2335,43,0
2/29/2016,27957,47933,46438689,161089,376,58,0
3/1/2016,30509,55160,46493849,161146,470,66,0
3/2/2016,26195,43535,46537384,161198,235,35,0
3/3/2016,24061,37848,46575232,161243,215,22,0
3/4/2016,17369,29100,46604332,161268,150,16,0
3/5/2016,18023,36875,46641207,161310,785,46,0
3/6/2016,18832,36377,46677584,161379,837,40,0
3/7/2016,31492,56232,46733816,161493,633,58,0
3/8/2016,36521,67958,46801774,161604,723,98,0
3/9/2016,41489,81662,46883436,161732,1226,125,0
3/10/2016,42252,82079,46965515,161867,1271,111,0
3/11/2016,38193,76636,47042151,161987,1266,79,0
3/12/2016,32770,81491,47123642,162086,3247,105,0
3/13/2016,27549,63214,47186856,162214,2216,67,0
3/14/2016,10930,16498,47203354,162289,70,17,0
3/15/2016,31595,57722,47261076,162380,582,79,0
3/16/2016,36067,68713,47329789,162482,930,78,0
3/17/2016,35390,65353,47395142,162583,785,98,0
3/18/2016,34647,69122,47464264,162670,933,87,0
3/19/2016,24048,49113,47513377,162733,1411,69,0
3/20/2016,16676,29737,47543114,162795,633,40,0
3/21/2016,26414,44457,47587571,162890,428,57,0
3/22/2016,33496,62248,47649819,163000,705,99,0
3/23/2016,40981,80289,47730108,163136,1279,120,0
3/24/2016,36495,67590,47797698,163216,1045,101,0
3/25/2016,34091,70525,47868223,163320,1684,128,0
3/26/2016,27474,67267,47935490,163407,2834,108,0
3/27/2016,22481,52462,47987952,163501,2080,67,0
3/28/2016,20344,35548,48023500,163589,375,60,0
3/29/2016,31481,55067,48078567,163681,588,97,0
3/30/2016,33674,61264,48139831,163770,769,64,0
3/31/2016,38192,79447,48219278,163865,1141,91,0
4/1/2016,34448,67595,48286873,163963,1113,82,0
4/2/2016,21838,46206,48333079,164031,1193,63,0
4/3/2016,15321,28615,48361694,164102,448,31,0
4/4/2016,12302,20143,48381837,164167,49,19,0
4/5/2016,26236,43723,48425560,164237,341,56,0
4/6/2016,29364,48901,48474461,164310,443,37,0
4/7/2016,30400,54591,48529052,164366,280,65,0
4/8/2016,30811,53039,48582091,164425,542,51,0
4/9/2016,12698,21151,48603242,164455,346,21,0
4/10/2016,23228,49190,48652432,164536,1508,48,0
4/11/2016,32048,59206,48711638,164632,668,82,0
4/12/2016,23765,43504,48755142,164703,316,50,0
4/13/2016,37538,71788,48826930,164790,761,106,0
4/14/2016,38502,88278,48915208,164885,963,93,0
4/15/2016,39676,86981,49002189,164996,1273,118,0
4/16/2016,36148,102228,49104417,165139,3726,141,0
4/17/2016,38838,115805,49220222,165354,4348,190,0
4/18/2016,43989,102730,49322952,165576,1595,197,0
4/19/2016,46075,107515,49430467,165812,1130,184,0
4/20/2016,44542,104249,49534716,166002,1160,116,0
4/21/2016,45568,104484,49639200,166153,1307,149,0
4/22/2016,48806,113556,49752756,166319,4230,105,0
4/23/2016,33631,96274,49849030,166462,3309,155,0
4/24/2016,37862,115132,49964162,166692,4026,177,0
4/25/2016,42303,100925,50065087,166902,1698,170,0
4/26/2016,34639,75454,50140541,167048,741,97,0
4/27/2016,41931,93272,50233813,167196,1395,110,0
4/28/2016,37428,74857,50308670,167311,927,95,0
4/29/2016,34878,78020,50386690,167439,1051,122,0
4/30/2016,38258,110776,50497466,167638,4244,165,0
5/1/2016,10697,29020,50526486,167721,260,24,0
5/2/2016,38536,84418,50610904,167842,967,152,0
5/3/2016,22858,57652,50668556,167987,350,45,0
5/4/2016,31619,67962,50736518,168111,449,84,0
5/5/2016,39903,80750,50817268,168262,970,107,0
5/6/2016,18860,42069,50859337,168326,275,45,0
5/7/2016,31078,78977,50938314,168427,2293,133,0
5/8/2016,31197,84464,51022778,168582,2773,157,0
5/9/2016,45724,103071,51125849,168779,1389,195,0
5/10/2016,44849,89755,51215604,168979,876,133,0
5/11/2016,51181,106139,51321743,169209,1531,147,0
5/12/2016,52273,115823,51437566,169407,1971,169,0
5/13/2016,32391,68317,51505883,169570,855,92,0
5/14/2016,42063,108807,51614690,169769,4186,212,0
5/15/2016,28662,64857,51679547,169933,1865,116,0
5/16/2016,42787,94791,51774338,170102,1362,186,0
5/17/2016,43396,80744,51855082,170276,1012,154,0
5/18/2016,44803,93320,51948402,170465,1120,121,0
5/19/2016,49184,104291,52052693,170680,1471,0,151
5/20/2016,52544,118192,52170885,170960,2349,0,184
5/21/2016,30524,72663,52243548,171147,2174,0,138
5/22/2016,37804,98270,52341818,171349,3159,0,131
5/23/2016,48578,109072,52450890,171680,1549,0,177
5/24/2016,34799,68156,52519046,171898,696,0,98
5/25/2016,53441,125803,52644849,172154,1702,0,191
5/26/2016,52134,124751,52769600,172386,1646,0,195
5/27/2016,46943,106768,52876368,172638,1988,0,221
5/28/2016,34233,95897,52972265,172831,3634,0,296
5/29/2016,36881,114069,53086334,173090,4820,0,161
5/30/2016,32627,94241,53180575,173422,2782,0,134
5/31/2016,49774,106059,53286634,174137,1492,0,212
6/1/2016,54662,127143,53413777,174344,1513,0,156
6/2/2016,54401,124918,53538695,174516,1649,0,162
6/3/2016,38975,85292,53623987,174633,1023,0,118
6/4/2016,40973,107610,53731597,174797,3824,0,159
6/5/2016,22395,54320,53785917,174912,1133,0,57
6/6/2016,52130,123879,53909796,175118,1861,0,208
6/7/2016,51761,114761,54024557,175293,1331,0,127
6/8/2016,42063,89460,54114017,175420,673,0,74
6/9/2016,52885,127585,54241602,175557,1556,0,168
6/10/2016,53235,119143,54360745,175697,2022,0,207
6/11/2016,40980,111784,54472529,175901,3432,0,126
6/12/2016,40636,117814,54590343,176087,3335,0,173
6/13/2016,49069,110720,54701063,176273,1364,0,200
6/14/2016,54813,116030,54817093,176467,1471,0,153
6/15/2016,55049,122197,54939290,176711,1524,0,154
6/16/2016,46198,100175,55039465,176865,1104,0,144
6/17/2016,54236,121671,55161136,177053,2677,0,155
6/18/2016,48901,143869,55305005,177210,6432,0,158
6/19/2016,45270,137558,55442563,177370,5555,0,151
6/20/2016,52247,119765,55562328,177660,1488,0,211
6/21/2016,53564,116215,55678543,177895,1331,0,144
6/22/2016,55749,119611,55798154,178168,1476,0,157
6/23/2016,53206,115262,55913416,178354,1253,0,160
6/24/2016,54186,123440,56036856,178545,2142,0,224
6/25/2016,43000,123815,56160671,178715,4069,0,176
6/26/2016,42992,117472,56278143,178893,3784,0,156
6/27/2016,47023,100253,56378396,179061,1400,0,164
6/28/2016,49593,99918,56478314,179215,1099,0,114
6/29/2016,54882,114793,56593107,179403,1402,0,128
6/30/2016,54843,125575,56718682,179625,1571,0,141
7/1/2016,39665,82871,56801553,179756,1316,0,139
7/2/2016,35835,111151,56912704,179903,3596,0,314
7/3/2016,35347,111116,57023820,180016,4095,0,169
7/4/2016,34859,109745,57133565,180158,3826,0,155
7/5/2016,43736,92107,57225672,180338,1357,0,160
7/6/2016,51336,109240,57334912,180540,1288,0,153
7/7/2016,48724,99975,57434887,180725,1255,0,113
7/8/2016,44400,91632,57526519,180852,1258,0,152
7/9/2016,38138,107359,57633878,180990,2844,0,145
7/10/2016,41985,123282,57757160,181172,3280,0,137
7/11/2016,52853,122260,57879420,181381,1440,0,211
7/12/2016,56515,120414,57999834,181571,1472,0,192
7/13/2016,55471,121029,58120863,181748,1510,0,146
7/14/2016,50345,108541,58229404,181877,1326,0,126
7/15/2016,48558,104701,58334105,182016,1709,0,173
7/16/2016,38405,103429,58437534,182144,3281,0,122
7/17/2016,41346,120635,58558169,182314,3440,0,153
7/18/2016,43681,97216,58655385,182488,1062,0,154
7/19/2016,54587,116806,58772191,182624,1498,0,139
7/20/2016,57213,128799,58900990,182792,1601,0,158
7/21/2016,54832,128476,59029466,182950,1553,0,161
7/22/2016,49185,105666,59135132,183072,1701,0,176
7/23/2016,37522,101810,59236942,183177,2932,0,138
7/24/2016,39634,113680,59350622,183332,2966,0,114
7/25/2016,35376,85145,59435767,183473,920,0,150
7/26/2016,52904,108783,59544550,183595,1385,0,168
7/27/2016,54148,115744,59660294,183731,1403,0,132
7/28/2016,50134,98694,59758988,183846,1292,0,123
7/29/2016,37693,81355,59840343,183937,1441,0,162
7/30/2016,27780,72197,59912540,184039,2242,0,112
7/31/2016,27651,70377,59982917,184157,1641,0,82
8/1/2016,49395,101134,60084051,184325,1359,0,166
8/2/2016,56744,116187,60200238,184558,1636,0,181
8/3/2016,56992,118370,60318608,184766,1827,0,143
8/4/2016,56587,118563,60437171,184960,1778,0,148
8/5/2016,53286,116534,60553705,185186,2012,0,185
8/6/2016,44209,125188,60678893,185436,4159,0,153
8/7/2016,43631,116183,60795076,185682,3856,0,149
8/8/2016,52251,115847,60910923,185956,1753,0,184
8/9/2016,56101,114892,61025815,186223,1701,0,165
8/10/2016,50100,101761,61127576,186401,1158,0,109
8/11/2016,47420,93639,61221215,186596,1238,0,152
8/12/2016,44729,90685,61311900,186771,1467,0,144
8/13/2016,38903,100035,61411935,186990,3333,0,125
8/14/2016,32961,74055,61485990,187173,2154,0,91
8/15/2016,49056,107305,61593295,187394,1417,0,175
8/16/2016,50411,103010,61696305,187601,1295,0,164
8/17/2016,53983,113583,61809888,187820,1430,0,138
8/18/2016,53209,115041,61924929,187998,1459,0,163
8/19/2016,51658,110723,62035652,188186,1862,0,175
8/20/2016,45808,138864,62174516,188499,4385,0,167
8/21/2016,35041,96941,62271457,188725,2664,0,127
8/22/2016,54201,118995,62390452,188996,1679,0,192
8/23/2016,58665,127012,62517464,189297,1675,0,170
8/24/2016,58134,127066,62644530,189577,1597,0,160
8/25/2016,53480,111985,62756515,189856,1436,0,169
8/26/2016,52026,112005,62868520,190156,1878,0,197
8/27/2016,45673,120578,62989098,190480,3767,0,173
8/28/2016,44639,121056,63110154,190844,3560,0,159
8/29/2016,53279,115101,63225255,191255,1530,0,174
8/30/2016,57392,121098,63346353,191713,1510,0,160
8/31/2016,57200,118815,63465168,192380,1320,0,136
9/1/2016,38174,77415,63542583,192592,714,0,104
9/2/2016,52999,126790,63669373,192814,2314,0,252
9/3/2016,41629,117476,63786849,193055,4009,0,268
9/4/2016,46020,140347,63927196,193326,5467,0,185
9/5/2016,45431,118022,64045218,193677,3778,0,190
9/6/2016,52432,108743,64153961,194065,1018,0,178
9/7/2016,60278,130391,64284352,194396,1328,0,199
9/8/2016,61551,130259,64414611,194674,1511,0,179
9/9/2016,56804,118213,64532824,194908,1582,0,178
9/10/2016,48454,127252,64660076,195189,3549,0,229
9/11/2016,52238,136353,64796429,195499,3572,0,216
9/12/2016,61083,127447,64923876,195832,1620,0,225
9/13/2016,64818,135366,65059242,196122,1462,0,198
9/14/2016,58928,121511,65180753,196388,1369,0,157
9/15/2016,67312,140436,65321189,196637,1612,0,240
9/16/2016,65257,145454,65466643,196886,2047,0,225
9/17/2016,59199,154037,65620680,197163,5117,0,210
9/18/2016,51685,131788,65752468,197449,3191,0,159
9/19/2016,34205,67180,65819648,197620,555,0,101
9/20/2016,64881,135085,65954733,197880,1454,0,200
9/21/2016,65453,142356,66097089,198118,1566,0,182
9/22/2016,67762,146370,66243459,198363,1681,0,207
9/23/2016,65499,142458,66385917,198577,2053,0,248
9/24/2016,53258,137355,66523272,198827,3990,0,212
9/25/2016,53563,143312,66666584,199198,3871,0,169
9/26/2016,61120,128011,66794595,199480,1375,0,170
9/27/2016,61334,122347,66916942,199739,1175,0,150
9/28/2016,59456,120072,67037014,199989,931,0,107
9/29/2016,55550,104364,67141378,200201,808,0,131
9/30/2016,21368,45194,67186572,200447,175,0,20
10/1/2016,39809,91771,67278343,200544,2017,0,133
10/2/2016,41018,100425,67378768,200664,2147,0,119
10/3/2016,56369,116682,67495450,200829,1514,0,183
10/4/2016,60196,123551,67619001,200954,1035,0,144
10/5/2016,65031,126942,67745943,201115,1240,0,160
10/6/2016,67580,137567,67883510,201234,1580,0,205
10/7/2016,65881,142612,68026122,201369,2398,0,222
10/8/2016,34624,86818,68112940,201485,2002,0,160
10/9/2016,21687,46334,68159274,201539,713,0,56
10/10/2016,52248,107487,68266761,201664,2013,0,163
10/11/2016,58754,113228,68379989,201761,1172,0,142
10/12/2016,57497,119851,68499840,201880,1170,0,153
10/13/2016,61209,117523,68617363,201984,1064,0,168
10/14/2016,60561,123000,68740363,202090,1592,0,183
10/15/2016,51991,138233,68878596,202215,3904,0,207
10/16/2016,48866,126550,69005146,202343,3195,0,172
10/17/2016,62649,132131,69137277,202502,1447,0,236
10/18/2016,68224,143635,69280912,202653,1656,0,194
10/19/2016,69758,145347,69426259,202772,1902,0,164
10/20/2016,63668,131686,69557945,202893,1377,0,198
10/21/2016,40865,80787,69638732,202960,724,0,102
10/22/2016,25301,55557,69694289,203019,658,0,45
10/23/2016,41462,99878,69794167,203137,2616,0,134
10/24/2016,55254,106893,69901060,203269,1145,0,146
10/25/2016,52667,96848,69997908,203349,716,0,102
10/26/2016,52466,103870,70101778,203410,809,0,85
10/27/2016,21054,39660,70141438,203449,101,0,23
10/28/2016,46233,89857,70231295,203492,766,0,111
10/29/2016,42513,103274,70334569,203579,2615,0,153
10/30/2016,37760,107572,70442141,203697,2971,0,114
10/31/2016,50071,107875,70550016,203787,1090,0,123
11/1/2016,55944,110056,70660072,203888,868,0,105
11/2/2016,62133,133258,70793330,203993,1242,0,141
11/3/2016,59632,124673,70918003,204108,943,0,174
11/4/2016,57867,126507,71044510,204195,1538,0,207
11/5/2016,48687,128639,71173149,204301,3416,0,177
11/6/2016,39413,104186,71277335,204428,2293,0,97
11/7/2016,49883,106484,71383819,204520,972,0,119
11/8/2016,56589,123718,71507537,204616,1137,0,107
11/9/2016,38050,75883,71583420,204660,257,0,40
11/10/2016,50863,111472,71694892,204728,813,0,139
11/11/2016,45826,105021,71799913,204802,1248,0,165
11/12/2016,34664,86968,71886881,204865,1916,0,114
11/13/2016,36806,95679,71982560,204958,2076,0,95
11/14/2016,48810,113590,72096150,205034,728,0,97
11/15/2016,22884,48797,72144947,205073,105,0,16
11/16/2016,53328,107831,"	72252778",205170,703,0,113
11/17/2016,53889,109418,"	72362196",205231,711,0,106
11/18/2016,53370,109802,"	72471998",205286,1051,0,125
11/19/2016,41208,98021,"	72570019",205376,2272,0,87
11/20/2016,20616,45772,"	72615791",205407,350,0,34
11/21/2016,32964,69754,"	72685545",205449,148,0,38
11/22/2016,36723,72592,"	72758137",205479,290,0,35
11/23/2016,34462,73005,"	72831142",205501,481,0,56
11/24/2016,12122,42343,"	72873485",205518,641,0,73
11/25/2016,20980,62444,"	72935929",205545,1011,0,67
11/26/2016,23810,65654,"	73001583",205572,1356,0,44
11/27/2016,24076,74381,"	73075964",205607,945,0,31
11/28/2016,42086,83300,"	73159264",205667,485,0,42
11/29/2016,14584,30989,"	73190253",205696,48,0,9
11/30/2016,24434,52424,"	73242677",205729,117,0,10
12/1/2016,43233,90239,"	73332916",205762,389,0,58
12/2/2016,42358,89092,"	73422008",205794,440,0,52
12/3/2016,29853,70853,"	73492861",205824,854,0,58
12/4/2016,27454,71729,"	73564590",205857,930,0,28
12/5/2016,35927,80214,"	73644804",205897,278,0,38
12/6/2016,33325,67187,"	73711991",205939,228,0,26
12/7/2016,38010,76605,"	73788596",205967,270,0,18
12/8/2016,39621,72219,"	73860815",205998,235,0,23
12/9/2016,33540,63950,"	73924765",206021,214,0,31
12/10/2016,22379,52716,73977481,206033,490,0,20
12/11/2016,17798,41740,"	74019221",206049,287,0,6
12/12/2016,29035,58701,"	74077922",206066,175,0,14
12/13/2016,39023,68858,"	74146780",206090,299,0,21
12/14/2016,37799,71798,"	74218578",206130,257,0,16
12/15/2016,25002,45840,"	74264418",206145,80,0,13
12/16/2016,24484,48288,"	74312706",206171,139,0,11
12/17/2016,6993,22363,"	74335069",206176,36,0,7
12/18/2016,16295,38459,"	74373528",206200,168,0,14
12/19/2016,25648,50405,"	74423933",206225,119,0,12
12/20/2016,27677,50408,"	74474341",206250,202,0,22
12/21/2016,30611,55746,"	74530087",206270,244,0,20
12/22/2016,30874,56441,"	74586528",206293,302,0,18
12/23/2016,26335,53318,"	74639846",206320,399,0,27
12/24/2016,8014,28033,"	74667879",206334,147,0,10
12/25/2016,9919,38209,"	74706088",206369,1052,0,43
12/26/2016,10774,32446,"	74738534",206400,315,0,27
12/27/2016,25946,61379,"	74799913",206450,960,0,68
12/28/2016,23596,52937,"	74852850",206476,619,0,38
12/29/2016,13202,29631,"	74882481",206503,104,0,8
12/30/2016,21366,45743,"	74928224",206543,641,0,49
12/31/2016,15925,46810,"	74975034",206585,798,0,33
1/1/2017,16009,50761,75025795,206624,1237,0,33
1/2/2017,8921,21545,75047340,206675,142,0,15
1/3/2017,14198,25879,75073219,206728,42,0,15
1/4/2017,34039,69966,75143185,206778,475,0,29
1/5/2017,28393,52446,75195631,206845,214,0,17
1/6/2017,24177,48964,75244595,206879,157,0,17
1/7/2017,4425,23556,75268151,206892,21,0,4
1/8/2017,6417,22756,75290907,206907,27,0,2
1/9/2017,15856,35209,75326116,206933,30,0,2
1/10/2017,23232,46216,75372332,206955,67,0,12
1/11/2017,32419,63099,75435431,206981,208,0,37
1/12/2017,39783,84763,75520194,207021,479,0,30
1/13/2017,33611,75847,75596041,207059,373,0,43
1/14/2017,13819,43090,75639131,207087,252,0,33
1/15/2017,17384,50738,75689869,207120,476,0,19
1/16/2017,24110,51664,75741533,207163,448,0,30
1/17/2017,18646,40697,75782230,207198,63,0,15
1/18/2017,30857,57978,75840208,207224,146,0,17
1/19/2017,36561,72077,75912285,207262,391,0,27
1/20/2017,26752,56479,75968764,207288,184,0,19
1/21/2017,26610,64662,76033426,207336,957,0,31
1/22/2017,20523,49368,76082794,207368,520,0,25
1/23/2017,15822,37687,76120481,207399,54,0,20
1/24/2017,13171,35619,76156100,207414,28,0,5
1/25/2017,36931,71418,76227518,207453,301,0,29
1/26/2017,33002,63750,76291268,207501,223,0,28
1/27/2017,32394,70189,76361457,207540,231,0,23
1/28/2017,21302,53955,76415412,207567,402,0,25
1/29/2017,22527,62854,76478266,207620,585,0,26
1/30/2017,29616,59975,76538241,207673,163,0,32
1/31/2017,25169,48684,76586925,207706,62,0,19
2/1/2017,35221,77639,76664564,207749,194,0,22
2/2/2017,34517,70727,76735291,207793,216,0,27
2/3/2017,29632,64701,76799992,207825,181,0,32
